ID,Store Name,Address,Postal Code,City,Country,Phone,Email,Website,Hours of Operation,Latitude,Longitude,Store Type
location_001,1000 Räder Hamburg,Krausestraße 116a,22049,Hamburg,DE,+49 40 6525 217,info@1000raeder.de,https://www.1000raeder.de/,"Montag - Freitag: 10:00 - 19:00 Uhr
Samstag: 10:00 - 16:00 Uhr",53.577294,10.058,dealer
location_002,2Rad Hofer,Dieselstraße 8,86368,Gersthofen,DE,+49 821 491284,info@2-rad-hofer.de,https://www.2-rad-hofer.de,Montag: geschlossenDienstag - Freitag: 9:30 - 12:00 & 13:00 - 17:00 UhrSamstag: 9:30 - 12:00 Uhr,48.42679,10.86623,dealer
location_003,2Rad Jessen,Schäfflerstraße 12,93309,Kelheim,DE,+49 9441 504 850,info@my2rad.de,https://www.my2rad.de,"Montag - Freitag: 9:00 - 18:30 Uhr
Samstag: 9:00 - 14:00 Uhr",48.920647,11.883671,dealer
location_004,2Rad Leuer,Hauptstraße 50,53340,Meckenheim,DE,+492225 2272,info@2rad-leuer.de,https://www.2rad-leuer.de/,"Montag: geschlossen
Dienstag - Freitag: 10:00 - 13:00 & 14:00 - 18:30 Uhr
Samstag: 10:00 - 14:00 Uhr",50.623142,7.021424,dealer
location_005,2-rad Mueller,Am Mettweg 34,79111,Freiburg,DE,+49 761 4768256,info@mueller-bikes.de,http://www.mueller-bikes.de,"Montag, Dienstag, Donnerstag & Freitag: 9:00 - 12:30 & 14:30 - 18:00 Uhr
Mittwoch: 9:00 - 12:30 Uhr
Samstag: 9:00 - 13:00 Uhr",47.979915,7.806979,dealer
location_006,2RADFABRIK Fürth GmbH & Co. KG,Gründlacherstraße 303,90765,Fürth,DE,+49 911 30088033,fuerth@2radfabrik.de,http://www.2radfabrik.de,"Montag - Samstag: 10 - 19 Uhr

Achtung: November bis Februar abweichende Öffnungszeiten:
Montag geschlossen
Dienstag - Freitag: 10 - 19 Uhr
Samstag: 10 - 16 Uhr",49.60308,10.99005,dealer
location_007,Amends Fahrradladen,Am Setzen 109,97469,Gochsheim,DE,+49 9721 4771498,info@amends-fahrradladen.de,http://www.amends-fahrradladen.de,"Montag: 12:30 - 18:00 Uhr
Dienstag: geschlossen 
Mittwoch - Freitag: 12:30 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",50.022926,10.274327,dealer
location_008,Arndt Fahrradhandel,An der Bärenhecke 33,91790,Nennslingen,DE,+49 91477599005,arndt-fahrradladen@gmx.de,,,49.043055,11.126919,dealer
location_009,Badbikes,Dornbergweg 28,38855,Werningerode,DE,+49 3943 694 253,badbikes.online@gmail.com,https://www.rockmachine-germany.de/,"Mo - Fr: 08:30 - 18:30 Uhr
Sa: 09:00 - 13:00 Uhr",51.847513,10.785027,dealer
location_010,Bader Rad-Kraftwerk,Dieselstraße 6,70771,Leinfelden-Echterdingen,DE,+49 711 220 918 16,stephan.bader@rad-kraftwerk.de,https://rad-kraftwerk.de/,"Dienstag - Freitag: 10:00 - 18:30 Uhr
Samstag: 10:00 - 13:30 Uhr",48.695559,9.165798,dealer
location_011,Bavarian Finest E-Bikes,Fischerei 43,86911,Dießen,DE,+49 8807 4391051,info@bavarian-finest-e.bike,http://www.bavarian-finest-e.bike,,47.948851,11.107992,dealer
location_012,Beim Felix,Nürnberger Straße 14,90587,Veitsbronn,DE,+49 911 6336 9701,info@beimfelix.de,,"Montag bis Freitag: 9:00 - 12:00 Uhr & 13:00 - 16:30 Uhr
Samstag: nach Absprache",49.510053,10.885209,service
location_013,Bertis Bike Center,Werner-Eckart-Ring 2,49961,Cloppenburg,DE,+49 4471 93 25 39,info@bertis-bikes.de,http://www.bertis-bikes.de,"Montag - Freitag: 9:00 - 18:30 Uhr
Samstag: 9:00 - 16:00 Uhr",52.840594,8.069145,dealer
location_014,Bike Center Herzer,Ulmer Str. 41,73037,Göppingen,DE,+49 7161979796,info@herzer.de,http://www.herzer.de/,Montag: geschlossenDienstag - Freitag: 9:00 - 12:30 & 14:00 - 19:00 Uhr,48.69858,9.6674,dealer
